filename,title,author,description,category,language,source_url,added_by,date_added
قيمة الزمن عند العلماء.pdf, قيمة الزمن عند العلماء,عبدالفتاح أبو غدة,كتاب يتحدث عن أهمية وقيمة الزمن عند العلماء فيأتي بالروايات والقصص عن قيمة وتعظيم العلماء للوقت,تربية,ar,https://archive.org/details/QIMETUZZEMENIINDELULEMAIAbduLFettahEbuGudde,عبدالرحمن عريقات,30/8/2026
أخصر المختصرات.pdf,أخصر المختصرات,محمد البلباني,متن فقهي حنبلي مختصر يشمل أبواب الفقه الأربعة,فقه,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A3%D8%AE%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%B1%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%82%D9%87-%D8%B9%D9%84%D9%8A-%D9%85%D8%B0%D9%87%D8%A8-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D9%85-%D8%A3%D8%AD%D9%85%D8%AF-%D8%A8%D9%86-%D8%AD%D9%86%D8%A8%D9%84-pdf,عبدالرحمن عريقات,30/8/2026
 فصول في الآداب.pdf,فصول في الآداب,أبي الوفاء ابن عقيل الحنبلي,متن مختصر في الآداب ومكارم الأخلاق مع أحاكمها الفقهية,فقه,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D9%81%D8%B5%D9%88%D9%84-%D8%A7%D9%84%D8%A2%D8%AF%D8%A7%D8%A8-%D9%88%D9%85%D9%83%D8%A7%D8%B1%D9%85-%D8%A7%D9%84%D8%A3%D8%AE%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A9-pdf,عبدالرحمن عريقات,30/8/2026
ماذا خسر العالم بانحطاط المسلمين.pdf,ماذا خسر العالم بانحطاط المسلمين,أبو الحسن الندوي,كتاب يرسم صورة صغيرة سريعة، ولكنها واضحة، لهذا العالم قبل أن تشرق عليه أنوار الإسلام. يرسم الصورة لهذا العالم شرقاً وغرباً وشمالاً وجنوباً وكيف تسيطر عليه روح الجاهلية فيسوده الظلم والعبودية وتفشاه غاشية من الكفر والضلال والظلام، فإذا فرغ المؤلف من رسم صورة العالم بجاهلية هذه، بدأ يعرض دور الإسلام في حياة البشرية، ودوره في تخليص المجتمع الإنساني من الظلم والطغيان.,فكري,ar,https://www.noor-book.com/%D9%83%D8%AA%D8%A7%D8%A8-%D9%85%D8%A7%D8%B0%D8%A7-%D8%AE%D8%B3%D8%B1-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%A8%D8%A7%D9%86%D8%AD%D8%B7%D8%A7%D8%B7-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%D8%9F-pdf,عبدالرحمن عريقات,30/8/2026
,بوصلة المصلح,أحمد السيد,كتاب يوضح للمصلح كيف يحدد أولوياته ويسير في طريق الإصلاح بوعي واتزان وفهم للواقع.,تربوي / إصلاحي,ar,,,31/8/2026
,مقاومة التفاهة,أحمد السيد,يناقش خطر التفاهة على الإنسان والمجتمع، ويحث على استثمار الوقت والعمر فيما ينفع ويبني الشخصية.,تربوي / فكري,ar,,,
,إلى الجيل الصاعد,أحمد السيد,رسائل تربوية وفكرية موجهة للشباب، تساعدهم على بناء شخصيتهم وفهم مسؤولياتهم وتحديات عصرهم.,تربوي,ar,,,
,التفكير الناقد للجيل الصاعد,أحمد السيد,يعلم الشباب مهارات التفكير والتحليل والنقد، وكيفية التمييز بين الأفكار والمعلومات بعيدًا عن التقليد الأعمى.,تربوي / فكري,ar,,,
,البناء العقدي للجيل الصاعد,أحمد السيد,يقدم أسسًا لبناء العقيدة لدى الشباب بطريقة واعية، ويربط الإيمان بالتحديات والشبهات المعاصرة.,عقدي / تربوي,ar,,,
,المنهاج من ميراث النبوة,أحمد السيد,يقدم منهجًا متكاملًا للتربية والإصلاح مستمدًا من هدي النبي ﷺ وتجارب الأنبياء والسلف.,تربوي / منهجي,ar,,,
,ملحق المنهاج من ميراث النبوة,أحمد السيد,يكمل موضوعات المنهاج، ويضيف شروحات وأفكارًا تساعد على فهم المنهج التربوي وتطبيقه عمليًا.,تربوي / منهجي,ar,,,
,أنوار الأنبياء,أحمد السيد,يستعرض جوانب مضيئة من حياة الأنبياء ودروسهم، بهدف تعزيز الإيمان والاقتداء والاستفادة التربوية.,إيماني / تربوي,ar,,,
,سبيل المصلحات,أحمد السيد,يوجه المرأة المصلحة ويعرض مسؤولياتها وتحدياتها، وكيف تسهم بوعي في التربية والإصلاح المجتمعي.,تربوي / إصلاحي,ar,,,
,القبس الوهاج في تلخيص شرح المنهاج,أحمد السيد,تلخيص وشرح لأهم الأفكار التربوية والمنهجية الواردة في كتاب المنهاج من ميراث النبوة.,تربوي,ar,,,
,كامل الصورة,أحمد السيد,يناقش قضايا فكرية معاصرة، ويساعد القارئ على رؤية الصورة الكاملة وراء الأفكار والأحداث.,فكري,ar,,,
,كامل الصورة – الجزء الثاني,أحمد السيد,يستكمل معالجة القضايا الفكرية، ويعمق فهم الأفكار المعاصرة وتأثيراتها على المجتمع والشباب.,فكري,ar,,,
,سابغات,أحمد السيد,يناقش موضوعات إيمانية وفكرية متنوعة، ويقدم رسائل تساعد المسلم على الثبات وفهم قضايا عصره.,فكري / إيماني,ar,,,
,أفي السنة شك؟,أحمد السيد,يناقش شبهات إنكار السنة، ويعرض الأدلة العقلية والشرعية التي تؤكد مكانتها وحجيتها في الإسلام.,عقدي,ar,,,
,تثبيت حجية السنة ونقض أصول المنكرين,أحمد السيد,دراسة تدافع عن حجية السنة النبوية، وتناقش الأسس الفكرية والمنهجية التي يعتمد عليها منكروها.,عقدي / فكري,ar,,,
,رسالة مختصرة في منهج المتقدمين في الحديث,أحمد السيد,يشرح منهج المحدثين المتقدمين في نقد الروايات، ويقدم مدخلًا مختصرًا لفهم قواعدهم العلمية.,علوم حديث,ar,,,
,نظم المعين على فهم تطبيقات المحدثين,أحمد السيد,منظومة تعليمية تساعد طالب العلم على فهم التطبيقات العملية التي استخدمها المحدثون في نقد الأحاديث.,علوم حديث,ar,,,
,فضائل بيت المقدس والشام وعلاقتهما بالملاحم وأحداث آخر الزمان,أحمد السيد,يتناول فضائل الشام وبيت المقدس، ويربط النصوص الشرعية المتعلقة بهما بأحداث الفتن والملاحم المستقبلية.,إسلامي / تاريخي,ar,,,
,بالحب نربي أبناءنا,عبدالله عبدالمعطي,يقدم أساليب تربوية قائمة على الحب والاحتواء، لبناء علاقة قوية مع الأبناء وتوجيههم بطريقة إيجابية.,تربية الأبناء,ar,,,
,700 فكرة في تربية الأبناء,عبدالله عبدالمعطي,مجموعة كبيرة من الأفكار العملية المتنوعة التي تساعد الوالدين على التعامل مع مواقف التربية اليومية.,تربية الأبناء,ar,,,
,500 طريقة تجعل أبناءك يعشقون الصلاة,عبدالله عبدالمعطي,يقدم وسائل عملية لترغيب الأبناء في الصلاة، وربطها بالحب والإيمان والعادات اليومية داخل الأسرة.,تربية دينية,ar,,,
,كيف نعالج أخطاء أبنائنا,عبدالله عبدالمعطي,يساعد الوالدين على فهم أخطاء الأبناء ومعالجتها بأساليب تربوية هادئة بدل العقاب والعصبية.,تربية الأبناء,ar,,,
,أفكار إبداعية لعلاج أخطاء أبنائك,عبدالله عبدالمعطي,يقدم حلولًا وأفكارًا مبتكرة لمعالجة المشكلات السلوكية والتربوية التي قد تظهر خلال نمو الأبناء.,تربية الأبناء,ar,,,
,كيف تربي ابنًا صابرًا,عبدالله عبدالمعطي,يشرح طرق تنمية الصبر لدى الطفل، وتعليمه التعامل مع الصعوبات والانتظار وضبط المشاعر.,تربية,ar,,,
,كيف تصنع من طفلك رجلًا كبيرًا,عبدالله عبدالمعطي,يقدم أفكارًا تربوية لبناء شخصية الطفل، وتنمية الرجولة والمسؤولية والثقة والاعتماد على النفس.,تربية,ar,,,
,حياتنا الأسرية بدون عصبية,عبدالله عبدالمعطي,يساعد الأسرة على تقليل العصبية والخلافات، وبناء بيئة منزلية أكثر هدوءًا وتفاهمًا واحترامًا.,تربية أسرية,ar,,,
,أطفالنا: كيف نجعلهم يسمعون كلامنا,عبدالله عبدالمعطي,يقدم طرقًا عملية تجعل التواصل مع الأبناء أكثر تأثيرًا، وتساعدهم على الاستماع والتعاون دون صراخ.,تربية الأبناء,ar,,,
,علّم ابنك كيف يكره أخاه: 100 فكرة تجعل أبناءك يحبون بعضهم أكثر,عبدالله عبدالمعطي,يقدم أفكارًا لتعزيز المحبة بين الإخوة، وتقليل الغيرة والمشكلات، وبناء علاقة أسرية قوية.,تربية أسرية,ar,,,
,فنون تربوية لتربية الأبناء على تحمل المسؤولية,عبدالله عبدالمعطي,يساعد الوالدين على تنمية المسؤولية لدى الأبناء، وتعليمهم الاعتماد على النفس والالتزام بالواجبات.,تربية,ar,,,31/8/2026
,فن صناعة الذكريات مع الأبناء,عبدالله عبدالمعطي,يشرح أهمية صناعة اللحظات الجميلة مع الأبناء، وكيف تتحول المواقف اليومية إلى ذكريات مؤثرة.,تربية أسرية,ar,,,
,التربية الجنسية: أصول شرعية وقصص واقعية,عبدالله عبدالمعطي,يقدم إطارًا تربويًا وشرعيًا للتعامل مع التربية الجنسية، والإجابة عن تساؤلات الأبناء بطريقة مناسبة.,تربية,ar,,,
,حكايات فرحان مع القرآن – جزء عم,عبدالله عبدالمعطي,قصص تربوية مبسطة للأطفال تساعدهم على فهم سور جزء عم وربط القرآن بالدروس والسلوك.,تربية الأطفال / القرآن,ar,,,
,حكايات فرحان مع القرآن – جزء تبارك,عبدالله عبدالمعطي,قصص تربوية للأطفال تساعدهم على فهم سور جزء تبارك واستخراج المعاني والدروس بطريقة ممتعة.,تربية الأطفال / القرآن,ar,,,
,الطريق إلى القرآن,إبراهيم السكران,رحلة إيمانية تساعد القارئ على بناء علاقة أعمق مع القرآن وفهم أثره في القلب والسلوك.,إيماني / قرآني,ar,,,
,رقائق القرآن,إبراهيم السكران,يتأمل في آيات القرآن ومعانيها المؤثرة، ويقدم رسائل إيمانية تساعد على زيادة التدبر والخشوع.,إيماني / قرآني,ar,,,
,مسلكيات,إبراهيم السكران,يناقش سلوكيات الإنسان اليومية، ويقدم تأملات تربوية تساعد على تهذيب النفس وتصحيح مسارها.,إيماني / تربوي,ar,,,
,الماجريات,إبراهيم السكران,مقالات وتأملات تناقش قضايا الفكر والإيمان والحياة، وتدعو إلى الوعي ومراجعة الأفكار والمسلمات.,فكري / إيماني,ar,,,
,سلطة الثقافة الغالبة,إبراهيم السكران,يحلل تأثير الثقافة المهيمنة على الأفكار والقيم، ويوضح كيف تتشكل رؤية المجتمعات للأمور.,فكري,ar,,,
,مآلات الخطاب المدني,إبراهيم السكران,يناقش تطور الخطاب المدني ومآلاته الفكرية، ويحلل تأثيراته على المفاهيم الدينية والاجتماعية.,فكري,ar,,,
,التأويل الحداثي للتراث: التقنيات والاستمدادات,إبراهيم السكران,يدرس طرق التأويل الحداثي للتراث الإسلامي، ويكشف مصادره وتقنياته الفكرية وأثرها على فهم النصوص.,فكري,ar,,,
,الأسهم المختلطة,إبراهيم السكران,يناقش الأحكام الشرعية المتعلقة بالاستثمار في الأسهم، ويوضح ضوابط التعامل مع الشركات المختلطة.,فقهي,ar,,,
,رحلة الحروف,إبراهيم السكران,نصوص وتأملات أدبية وفكرية تجمع بين اللغة الجميلة والمعاني الإيمانية والتربوية العميقة.,أدبي / فكري,ar,,,
,جوابات الآسك – قناديل وهدايات,إبراهيم السكران,إجابات ورسائل إيمانية وتربوية قصيرة، تعالج تساؤلات ومواقف حياتية وتساعد على تقوية القلب.,إيماني / تربوي,ar,,,
,مجموع نسائم القرآن,إبراهيم السكران,مجموعة من الخواطر والتأملات القرآنية التي تهدف إلى زيادة التدبر وربط الآيات بالواقع والسلوك.,قرآني,ar,,,
,المغزى الرمضاني,إبراهيم السكران,تأملات ورسائل إيمانية مرتبطة بشهر رمضان، تركز على اغتنام الشهر وإصلاح القلب والارتقاء الروحي.,إيماني,ar,,,
,سرج رمضانية,إبراهيم السكران,خواطر رمضانية قصيرة تساعد على استثمار أيام رمضان ولياليه في العبادة والتغيير ومحاسبة النفس.,إيماني,ar,,,
,مفاتيح السياسة الشرعية,إبراهيم السكران,يناقش مبادئ السياسة الشرعية، وكيفية فهم العلاقة بين القيم الإسلامية وإدارة شؤون المجتمع والدولة.,فكري / سياسي,ar,,,
,أقيسة الاختلاطيين,إبراهيم السكران,يناقش الحجج المستخدمة لتبرير الاختلاط، ويحللها من منظور شرعي وفكري ويناقش اعتراضاتها.,فكري / اجتماعي,ar,,,
,احتجاجات المناوئين للخطاب الشرعي,إبراهيم السكران,يدرس الاعتراضات على الخطاب الشرعي، ويحلل طرق الاحتجاج والمفاهيم الفكرية المستخدمة لمعارضته.,فكري,ar,,,
,الاحتساب على شاتم سيد البشرية,إبراهيم السكران,يناقش حكم التعامل مع الإساءة للنبي ﷺ، ويعرض الجوانب الشرعية المتعلقة بالاحتساب والدفاع عنه.,شرعي,ar,,,
,المخارج الفقهية لأزمة الإسكان,إبراهيم السكران,يبحث حلولًا فقهية لمشكلة الإسكان، ويناقش البدائل والمعاملات المالية المتعلقة بتملك المساكن.,فقهي,ar,,,
,مصحف البحر الميت,إبراهيم السكران,يناقش قضايا تتعلق بالنصوص والمخطوطات المنسوبة للقرآن، ويرد على الشبهات المثارة حولها.,فكري,ar,,,
,كيف أسهم الإعلام الليبرالي في تعزيز شرعية الغلاة؟,إبراهيم السكران,يحلل دور بعض الخطابات الإعلامية الليبرالية في تشكيل المواقف، وعلاقتها غير المباشرة بتعزيز التطرف.,فكري / إعلامي,ar,,,
,التربية النبوية,محمد الدويش,يقدم دراسة واسعة لمنهج النبي ﷺ في التربية، وأساليبه في بناء الشخصية وتنمية الإيمان والقيادة والسلوك.,تربية,ar,,,
,التربية الجادة ضرورة,محمد الدويش,يناقش أهمية التربية الجادة في بناء الشباب، ويحذر من التربية السطحية التي لا تصنع شخصية قوية ومسؤولة.,تربية,ar,,,
,المدرس ومهارات التوجيه,محمد الدويش,يساعد المعلمين على تطوير مهارات التوجيه والتأثير التربوي، وبناء علاقة إيجابية وفعالة مع الطلاب.,تربية,ar,,,
,مقالات في التربية,محمد الدويش,مجموعة مقالات تناقش قضايا ومشكلات تربوية متنوعة، وتقدم أفكارًا وتأملات عملية للمربين والمعلمين.,تربية,ar,,,
,تأملات في العمل الإسلامي,محمد الدويش,يقدم مراجعات وتأملات في واقع العمل الإسلامي، ويناقش تحدياته وأساليب تطويره وتحسين أثره التربوي.,تربية,ar,,,
,شباب الصحابة,محمد الدويش,يستعرض نماذج من شباب الصحابة، ويبرز دور التربية النبوية في بناء شخصياتهم وإعدادهم لتحمل المسؤولية.,تربية,ar,,,
,فتيات الصحابة,محمد الدويش,يعرض نماذج مشرقة من حياة فتيات الصحابة، ويستخلص منها دروسًا تربوية وإيمانية للفتيات والمربين.,تربية,ar,,,
,عشر سنوات معلماً,محمد الدويش,تجربة وتأملات تربوية مستخلصة من سنوات العمل في التعليم، تقدم دروسًا عملية للمعلم في التأثير والتوجيه.,تربية,ar,,,
,حفظ القرآن الكريم,محمد الدويش,يناقش أهمية حفظ القرآن ووسائله، ويقدم توجيهات تساعد المتعلم على تنظيم الحفظ والاستمرار فيه.,تربية,ar,,,
,تحزيب القرآن الكريم وهدي السلف في ذلك,محمد الدويش,يبحث في تقسيم القرآن للقراءة والحفظ، ويعرض هدي السلف في تنظيم وردهم القرآني.,تربية,ar,,,
,التربية من جديد,فايز بن سعيد الزهراني,يعيد النظر في واقع التربية المعاصرة، ويقترح تطوير البرامج والمحاضن التربوية لتناسب تغيرات الأجيال الجديدة.,تربية,ar,,,
,معيار المربي,فايز بن سعيد الزهراني,دليل مختصر يوضح المفاهيم والمهارات والمعارف التي يحتاجها المربي للعمل المؤثر في المحاضن التربوية.,تربية,ar,,,
,المذهبات: من تراثنا التربوي,فايز بن سعيد الزهراني,يستعرض جوانب من التراث التربوي الإسلامي، ويبرز خبرات العلماء والمربين في بناء الإنسان وغرس الفضائل.,تربية,ar,,,
,الساعون في المدينة: تربية المجتمعات على فروض الكفايات,فايز بن سعيد الزهراني,يناقش تربية المجتمعات على تحمل المسؤوليات الجماعية، وأهمية إعداد أفراد يسعون لسد حاجات الأمة المختلفة.,تربية,ar,,,
,غمامتان: جولة مفاهيمية في سورتي البقرة وآل عمران,فايز بن سعيد الزهراني,يقدم جولة تدبرية ومفاهيمية في سورتي البقرة وآل عمران، لاستكشاف موضوعاتهما ومعانيهما التربوية والإيمانية.,تربية,ar,,,
,الجواهر: من أخبار النساء في القرآن,فايز بن سعيد الزهراني,يستعرض أخبار النساء الواردة في القرآن، ويستخرج منها الدروس والمعاني الإيمانية والتربوية والسلوكية.,تربية,ar,,,
